"name","slug","source_corpus","provenance","cleaned_for_parse","base_trick","modifier_stack","decomposition","provisional_add","job_status","parser_confidence","doctrine_confidence","structurally_readable","mechanically_derivable","doctrine_stable","observationally_extrapolated","culturally_canonical","unresolved_tokens","missing_modifier_weights","failure_class","source_adds"
"Symp. Butterfly Swirl","symp-butterfly-swirl","passback","passback","symposium. butterfly swirl","butterfly|swirl","symposium","symposium(+1) + butterfly(3) = 4","4","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Symp. DDD","symp-ddd","passback","passback","symposium. ddd","","symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","ddd","","ambiguous-terminal-mechanic",""
"Symp. DLO","symp-dlo","passback","passback","symposium. double leg over","","symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double|leg|over","","ambiguous-terminal-mechanic",""
"Symp. Eggbeating Mirage","symp-eggbeating-mirage","passback","passback","symposium. eggbeating mirage","mirage","symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","eggbeating","","unknown-modifier-token",""
"Symp. Illusion","symp-illusion","passback","passback","symposium. illusion","illusion","symposium","symposium(+1) + illusion(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Symp. Illusioning Illusioning Mirage","symp-illusioning-illusioning-mirage","passback","passback","symposium. illusioning illusioning mirage","mirage","symposium","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","illusioning|illusioning","","unknown-modifier-token",""
"Symp. Marius","symp-marius","passback","passback","symposium. marius","","symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","marius","","ambiguous-terminal-mechanic",""
"Symp. Miraging far Mirage","symp-miraging-far-mirage","passback","passback","symposium. miraging mirage","mirage","symposium|miraging","symposium(+1) + miraging(+1) + mirage(2) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Symp. Mobius","symp-mobius","passback","passback","symposium. mobius","mobius","symposium","symposium(+1) + mobius(5) = 6","6","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Symp. Swirling Gyro Inside","symp-swirling-gyro-inside","passback","passback","symposium. swirling gyro inside","","swirling|gyro|symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Symp. Tomahwak","symp-tomahwak","passback","passback","symposium. tomahwak","","symposium","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","tomahwak","","ambiguous-terminal-mechanic",""
"Symp. Twirl","symp-twirl","passback","passback","symposium. twirl","twirl","symposium","symposium(+1) + twirl(4) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Symp. Whirling far Mirage","symp-whirling-far-mirage","passback","passback","symposium. whirling mirage","mirage","whirling|symposium","whirling(+1) + symposium(+1) + mirage(2) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Tapping Double Down","tapping-double-down","passback","passback","tapping double down","","tapping","","","deferred:chassis-substitution-required","low","policy-dependent","False","False","False","true","false","double|down","","ambiguous-terminal-mechanic",""
"TATW/Triple ATW","tatw-triple-atw","passback","passback","tatw/triple around the world","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","tatw|triple|around|the|world","","folk-name-opacity",""
"Terraging near Clipper","terraging-near-clipper","passback","passback","terraging clipper","","terraging","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Terrawhirl","terrawhirl","passback","passback","terrawhirl","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","terrawhirl","","folk-name-opacity",""
"Toe far Double Down","toe-far-double-down","passback","passback","toe double down","","","","","deferred:chassis-substitution-required","none","policy-dependent","False","False","False","true","false","double|down","","folk-name-opacity",""
"Toe far Symp. Double Down","toe-far-symp-double-down","passback","passback","toe symposium. double down","","symposium","","","deferred:chassis-substitution-required","low","policy-dependent","False","False","False","true","false","double|down","","ambiguous-terminal-mechanic",""
"Toe midtime near Whirr","toe-midtime-near-whirr","passback","passback","toe midtime whirr","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","midtime|whirr","","folk-name-opacity",""
"Toe Mobius","toe-mobius","passback","passback","toe mobius","mobius","","mobius(5) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Toe near Barrage","toe-near-barrage","passback","passback","toe barrage","barrage","","barrage(3) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Toe near Double Down","toe-near-double-down","passback","passback","toe double down","","","","","deferred:chassis-substitution-required","none","policy-dependent","False","False","False","true","false","double|down","","folk-name-opacity",""
"Toe near Flurry","toe-near-flurry","passback","passback","toe flurry","flurry","","flurry(4) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Toe near Symp. Double Down","toe-near-symp-double-down","passback","passback","toe symposium. double down","","symposium","","","deferred:chassis-substitution-required","low","policy-dependent","False","False","False","true","false","double|down","","ambiguous-terminal-mechanic",""
"Toe near Triage","toe-near-triage","passback","passback","toe triage","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","triage","","folk-name-opacity",""
"Toe Spinning near Torque","toe-spinning-near-torque","passback","passback","toe spinning torque","torque","spinning","spinning(+1) + torque(4) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Toe ss Symp Swirl","toe-ss-symp-swirl","passback","passback","toe symposium swirl","swirl","symposium","symposium(+1) + swirl(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Toe Stall dragged from Xbd position","toe-stall-dragged-from-xbd-position","passback","passback","toe stall dragged from xbd position","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","stall|dragged|from|xbd|position","","folk-name-opacity",""
"Torque Dyno","torque-dyno","passback","passback","torque dyno","torque|dyno","","torque(4) = 4","4","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Toxic","toxic","passback","passback","toxic","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","toxic","","folk-name-opacity",""
"triple-dex ATW","triple-dex-atw","passback","passback","triple-dex around the world","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","triple|dex|around|the|world","","folk-name-opacity",""
"triple-dex Legover","triple-dex-legover","passback","passback","triple-dex legover","legover","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","triple|dex","","unknown-modifier-token",""
"triple-dex Mirage","triple-dex-mirage","passback","passback","triple-dex mirage","mirage","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","triple|dex","","unknown-modifier-token",""
"triple-dex ""Pixie","triple-dex-pixie","passback","passback","triple-dex ""pixie","","pixie","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","triple|dex","","ambiguous-terminal-mechanic",""
"triple-dex Swirl","triple-dex-swirl","passback","passback","triple-dex swirl","swirl","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","triple|dex","","unknown-modifier-token",""
"Triple Switch, Triple Switchover","triple-switch-triple-switchover","passback","passback","triple switch, triple switchover","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","triple|switch|triple|switchover","","folk-name-opacity",""
"TSO, Triple Switch, Triple Switchover","tso-triple-switch-triple-switchover","passback","passback","tso, triple switch, triple switchover","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","tso|triple|switch|triple|switchover","","folk-name-opacity",""
"Twist","twist","passback","passback","twist","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","twist","","folk-name-opacity",""
"Twisting near Osis","twisting-near-osis","passback","passback","twisting osis","osis","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","twisting","","unknown-modifier-token",""
"Twisting near Pickup","twisting-near-pickup","passback","passback","twisting pickup","pickup","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","twisting","","unknown-modifier-token",""
"Twisting near Toe","twisting-near-toe","passback","passback","twisting toe","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","twisting","","folk-name-opacity",""
"Walkover","walkover","passback","passback","walkover","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","walkover","","folk-name-opacity",""
"Wauxspin","wauxspin","passback","passback","wauxspin","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","wauxspin","","folk-name-opacity",""
"Whipping Osis","whipping-osis","passback","passback","whipping osis","osis","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","whipping","","unknown-modifier-token",""
"Whirling far Mirage","whirling-far-mirage","passback","passback","whirling mirage","mirage","whirling","whirling(+1) + mirage(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Whirling far Whirl","whirling-far-whirl","passback","passback","whirling whirl","whirl","whirling","whirling(+1) + whirl(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Whirling near Whip","whirling-near-whip","passback","passback","whirling whip","","whirling","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","whip","","ambiguous-terminal-mechanic",""
"Whirlwind Swirl","whirlwind-swirl","passback","passback","whirlwind swirl","swirl","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","whirlwind","","unknown-modifier-token",""
"Xbd Outside Stall","xbd-outside-stall","passback","passback","xbd outside stall","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","xbd|stall","","folk-name-opacity",""
"Xbd Sole Stall","xbd-sole-stall","passback","passback","xbd sole stall","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","xbd|stall","","folk-name-opacity",""
"Arctic Butterfly (Arc Walk)","arctic-butterfly-arc-walk","stanford","stanford","arctic butterfly","butterfly","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","arctic","","unknown-modifier-token",""
"Arctic Whirl","arctic-whirl","stanford","stanford","arctic whirl","whirl","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","arctic","","unknown-modifier-token",""
"Atomic Blacula (Your Mom)","atomic-blacula-your-mom","stanford","stanford","atomic blacula","","atomic","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","blacula","","ambiguous-terminal-mechanic",""
"Atomic Blender","atomic-blender","stanford","stanford","atomic blender","blender","atomic","atomic(+1) + blender(4) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Butterfly Swirl (Leg Beater Swirl)","atomic-butterfly-swirl-leg-beater-swirl","stanford","stanford","atomic butterfly swirl","butterfly|swirl","atomic","atomic(+1) + butterfly(3) = 4","4","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Atomic DLO (Predator)","atomic-dlo-predator","stanford","stanford","atomic double leg over","","atomic","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double|leg|over","","ambiguous-terminal-mechanic",""
"Atomic Ducking Blender (Super Ego)","atomic-ducking-blender-super-ego","stanford","stanford","atomic ducking blender","blender","atomic|ducking","atomic(+1) + ducking(+1) + blender(4) = 6","6","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Ducking Butterfly (Atomic Warrior)","atomic-ducking-butterfly-atomic-warrior","stanford","stanford","atomic ducking butterfly","butterfly","atomic|ducking","atomic(+1) + ducking(+1) + butterfly(3) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Ducking DLO (Tunguska)","atomic-ducking-dlo-tunguska","stanford","stanford","atomic ducking double leg over","","atomic|ducking","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double|leg|over","","ambiguous-terminal-mechanic",""
"Atomic Ducking Mirage (Rasmus) (Skull Smasher)","atomic-ducking-mirage-rasmus-skull-smasher","stanford","stanford","atomic ducking mirage","mirage","atomic|ducking","atomic(+2 rot) + ducking(+1) + mirage(2) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Ducking Motion (Mont Royal)","atomic-ducking-motion-mont-royal","stanford","stanford","atomic ducking motion","","atomic|ducking","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","motion","","ambiguous-terminal-mechanic",""
"Atomic Ducking Torque (Icarus)","atomic-ducking-torque-icarus","stanford","stanford","atomic ducking torque","torque","atomic|ducking","atomic(+2 rot) + ducking(+1) + torque(4) = 7","7","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Ducking Whirl (Ego) (Tamboura)","atomic-ducking-whirl-ego-tamboura","stanford","stanford","atomic ducking whirl","whirl","atomic|ducking","atomic(+2 rot) + ducking(+1) + whirl(3) = 6","6","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Dyno (Corkscrew)","atomic-dyno-corkscrew","stanford","stanford","atomic dyno","dyno","atomic","atomic(+1) + dyno(4) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Eggbeater (Blade Runner)","atomic-eggbeater-blade-runner","stanford","stanford","atomic eggbeater","eggbeater","atomic","atomic(+1) + eggbeater(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Guay","atomic-guay","stanford","stanford","atomic guay","guay","atomic","atomic(+1) + guay(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Gyro Symposium Whirl (Crossfire)","atomic-gyro-symposium-whirl-crossfire","stanford","stanford","atomic gyro symposium whirl","whirl","atomic|gyro|symposium","atomic(+2 rot) + gyro(+1) + symposium(+1) + whirl(3) = 7","7","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Legover (Egg Plant)","atomic-legover-egg-plant","stanford","stanford","atomic legover","legover","atomic","atomic(+1) + legover(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Mirage (Atom Smasher)","atomic-mirage-atom-smasher","stanford","stanford","atomic mirage","mirage","atomic","atomic(+2 rot) + mirage(2) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Pickup (Scrambled Eggbeater)","atomic-pickup-scrambled-eggbeater","stanford","stanford","atomic pickup","pickup","atomic","atomic(+1) + pickup(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Reverse Guay","atomic-reverse-guay","stanford","stanford","atomic reverse guay","guay","atomic","atomic(+1) + guay(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Reverse Swirl","atomic-reverse-swirl","stanford","stanford","atomic reverse swirl","swirl","atomic","atomic(+2 rot) + swirl(3) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Swirl","atomic-swirl","stanford","stanford","atomic swirl","swirl","atomic","atomic(+2 rot) + swirl(3) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Symposium Mirage (Witch Doctor)","atomic-symposium-mirage-witch-doctor","stanford","stanford","atomic symposium mirage","mirage","atomic|symposium","atomic(+2 rot) + symposium(+1) + mirage(2) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Symposium Whirl (Gary Coleman)","atomic-symposium-whirl-gary-coleman","stanford","stanford","atomic symposium whirl","whirl","atomic|symposium","atomic(+2 rot) + symposium(+1) + whirl(3) = 6","6","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Whirl (Reactor)","atomic-whirl-reactor","stanford","stanford","atomic whirl","whirl","atomic","atomic(+2 rot) + whirl(3) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Atomic Zulu Mirage","atomic-zulu-mirage","stanford","stanford","atomic zulu mirage","mirage","atomic","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","zulu","","unknown-modifier-token",""
"Barfly Reverse Swirl","barfly-reverse-swirl","stanford","stanford","barfly reverse swirl","barfly|swirl","","barfly(4) = 4","4","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic",""
"Barraging Legover (Flurry)","barraging-legover-flurry","stanford","stanford","barraging legover","legover","barraging","barraging(+2) + legover(2) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Barraging Pickup","barraging-pickup","stanford","stanford","barraging pickup","pickup","barraging","barraging(+2) + pickup(2) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Blazing Drifter","blazing-drifter","stanford","stanford","blazing drifter","drifter","blazing","blazing(+1) + drifter(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Blazing Illusion","blazing-illusion","stanford","stanford","blazing illusion","illusion","blazing","blazing(+1) + illusion(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Blazing Legover","blazing-legover","stanford","stanford","blazing legover","legover","blazing","blazing(+1) + legover(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Blazing Mirage (Blaze)","blazing-mirage-blaze","stanford","stanford","blazing mirage","mirage","blazing","blazing(+1) + mirage(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Blazing Symposium Mirage","blazing-symposium-mirage","stanford","stanford","blazing symposium mirage","mirage","blazing|symposium","blazing(+1) + symposium(+1) + mirage(2) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Blazing Torque","blazing-torque","stanford","stanford","blazing torque","torque","blazing","blazing(+1) + torque(4) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Blazing Whirl (Whirl Walk)","blazing-whirl-whirl-walk","stanford","stanford","blazing whirl","whirl","blazing","blazing(+1) + whirl(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","",""
"Blistering Whirl (Whirling Gyro Whirl)","blistering-whirl-whirling-gyro-whirl","stanford","stanford","blistering whirl","whirl","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","blistering","","unknown-modifier-token",""
"Blurry Barfly Swirl (Blurriest Swirl)","blurry-barfly-swirl-blurriest-swirl","stanford","stanford","blurry barfly swirl","barfly|swirl","blurry","blurry(+1) + barfly(4) = 5","5","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","","","compression-ambiguity",""
"Blurry Barrage (Blurrage)","blurry-barrage-blurrage","stanford","stanford","blurry barrage","barrage","blurry","blurry(+1) + barrage(3) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Butterfly (Ripwalk)","blurry-butterfly-ripwalk","stanford","stanford","blurry butterfly","butterfly","blurry","blurry(+1) + butterfly(3) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Butterfly Swirl (Riptide)","blurry-butterfly-swirl-riptide","stanford","stanford","blurry butterfly swirl","butterfly|swirl","blurry","blurry(+1) + butterfly(3) = 4","4","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","","","compression-ambiguity",""
"Blurry Butterfly Swivel (Puree)","blurry-butterfly-swivel-puree","stanford","stanford","blurry butterfly swivel","butterfly","blurry","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","swivel","","compression-ambiguity",""
"Blurry Clipper","blurry-clipper","stanford","stanford","blurry clipper","","blurry","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","","","compression-ambiguity",""
"Blurry Da Da Curve","blurry-da-da-curve","stanford","stanford","blurry da da curve","","blurry","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","da|da|curve","","compression-ambiguity",""
"Blurry Ducking Barfly (Leviathan)","blurry-ducking-barfly-leviathan","stanford","stanford","blurry ducking barfly","barfly","blurry|ducking","blurry(+1) + ducking(+1) + barfly(4) = 6","6","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Ducking Blender","blurry-ducking-blender","stanford","stanford","blurry ducking blender","blender","blurry|ducking","blurry(+1) + ducking(+1) + blender(4) = 6","6","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Ducking Butterfly (Ripped Warrior)","blurry-ducking-butterfly-ripped-warrior","stanford","stanford","blurry ducking butterfly","butterfly","blurry|ducking","blurry(+1) + ducking(+1) + butterfly(3) = 5","5","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Ducking Butterfly Swirl (Cyborg)","blurry-ducking-butterfly-swirl-cyborg","stanford","stanford","blurry ducking butterfly swirl","butterfly|swirl","blurry|ducking","blurry(+1) + ducking(+1) + butterfly(3) = 5","5","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","","","compression-ambiguity",""
"Blurry Ducking Eggbeater (Golden Shower)","blurry-ducking-eggbeater-golden-shower","stanford","stanford","blurry ducking eggbeater","eggbeater","blurry|ducking","blurry(+1) + ducking(+1) + eggbeater(3) = 5","5","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Ducking Illusion (Avalanche)","blurry-ducking-illusion-avalanche","stanford","stanford","blurry ducking illusion","illusion","blurry|ducking","blurry(+1) + ducking(+1) + illusion(2) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Ducking Mirage (Spike Hammer)","blurry-ducking-mirage-spike-hammer","stanford","stanford","blurry ducking mirage","mirage","blurry|ducking","blurry(+1) + ducking(+1) + mirage(2) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Ducking Motion (Syberian Express)","blurry-ducking-motion-syberian-express","stanford","stanford","blurry ducking motion","","blurry|ducking","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","motion","","compression-ambiguity",""
"Blurry Ducking PS Mirage","blurry-ducking-ps-mirage","stanford","stanford","blurry ducking paradox symposium mirage","mirage","blurry|ducking|paradox|symposium","blurry(+1) + ducking(+1) + paradox(+1) + symposium(+1) + mirage(2) = 6","6","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Ducking PS Whirl","blurry-ducking-ps-whirl","stanford","stanford","blurry ducking paradox symposium whirl","whirl","blurry|ducking|paradox|symposium","blurry(+1) + ducking(+1) + paradox(+1) + symposium(+1) + whirl(3) = 7","7","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Ducking Torque (Gauntlet)","blurry-ducking-torque-gauntlet","stanford","stanford","blurry ducking torque","torque","blurry|ducking","blurry(+1) + ducking(+1) + torque(4) = 6","6","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Ducking Voodoo (Hell Raiser)","blurry-ducking-voodoo-hell-raiser","stanford","stanford","blurry ducking voodoo","","blurry|ducking","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","voodoo","","compression-ambiguity",""
"Blurry Dyno (Grab Your Balls And Squeeze)","blurry-dyno-grab-your-balls-and-squeeze","stanford","stanford","blurry dyno","dyno","blurry","blurry(+1) + dyno(4) = 5","5","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Eggbeater (Bed Wetter)","blurry-eggbeater-bed-wetter","stanford","stanford","blurry eggbeater","eggbeater","blurry","blurry(+1) + eggbeater(3) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Flail (Backside Blizzard)","blurry-flail-backside-blizzard","stanford","stanford","blurry flail","flail","blurry","blurry(+1) + flail(3) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Flurry","blurry-flurry","stanford","stanford","blurry flurry","flurry","blurry","blurry(+1) + flurry(4) = 5","5","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Guay","blurry-guay","stanford","stanford","blurry guay","guay","blurry","blurry(+1) + guay(2) = 3","3","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Illusion (Blizzard)","blurry-illusion-blizzard","stanford","stanford","blurry illusion","illusion","blurry","blurry(+1) + illusion(2) = 3","3","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Legover","blurry-legover","stanford","stanford","blurry legover","legover","blurry","blurry(+1) + legover(2) = 3","3","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Mirage (Blur)","blurry-mirage-blur","stanford","stanford","blurry mirage","mirage","blurry","blurry(+1) + mirage(2) = 3","3","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Motion (Locomotion)","blurry-motion-locomotion","stanford","stanford","blurry motion","","blurry","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","motion","","compression-ambiguity",""
"Blurry Osis (Crispy Torque)","blurry-osis-crispy-torque","stanford","stanford","blurry osis","osis","blurry","blurry(+1) + osis(3) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Pickup","blurry-pickup","stanford","stanford","blurry pickup","pickup","blurry","blurry(+1) + pickup(2) = 3","3","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry PS Whirling XBD Rake (Warlock) (Sasquatch)","blurry-ps-whirling-xbd-rake-warlock-sasquatch","stanford","stanford","blurry paradox symposium whirling xbd rake","rake","whirling|blurry|paradox|symposium","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","xbd","","compression-ambiguity",""
"Blurry Reaper","blurry-reaper","stanford","stanford","blurry reaper","reaper","blurry","blurry(+1) + reaper(3) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Reverse Guay","blurry-reverse-guay","stanford","stanford","blurry reverse guay","guay","blurry","blurry(+1) + guay(2) = 3","3","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Reverse Whirl","blurry-reverse-whirl","stanford","stanford","blurry reverse whirl","whirl","blurry","blurry(+1) + whirl(3) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Symposium DLO","blurry-symposium-dlo","stanford","stanford","blurry symposium double leg over","","blurry|symposium","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","double|leg|over","","compression-ambiguity",""
"Blurry Symposium Eggbeater","blurry-symposium-eggbeater","stanford","stanford","blurry symposium eggbeater","eggbeater","blurry|symposium","blurry(+1) + symposium(+1) + eggbeater(3) = 5","5","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Symposium Mirage (Backside Blur)","blurry-symposium-mirage-backside-blur","stanford","stanford","blurry symposium mirage","mirage","blurry|symposium","blurry(+1) + symposium(+1) + mirage(2) = 4","4","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Symposium Reverse Whirl","blurry-symposium-reverse-whirl","stanford","stanford","blurry symposium reverse whirl","whirl","blurry|symposium","blurry(+1) + symposium(+1) + whirl(3) = 5","5","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Symposium Whirl (Whirlygig)","blurry-symposium-whirl-whirlygig","stanford","stanford","blurry symposium whirl","whirl","blurry|symposium","blurry(+1) + symposium(+1) + whirl(3) = 5","5","deferred:chassis-substitution-required","high","blocked","True","True","False","true","false","","","",""
"Blurry Voodoo","blurry-voodoo","stanford","stanford","blurry voodoo","","blurry","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","voodoo","","compression-ambiguity",""
"Blurry Zulu Blender (Odula)","blurry-zulu-blender-odula","stanford","stanford","blurry zulu blender","blender","blurry","","","deferred:chassis-substitution-required","low","blocked","False","False","False","true","false","zulu","","compression-ambiguity",""
