slug,canonical_name,display_name,hashtag,publication_status,first_class_tier,family,base_trick,modifiers,notation_primary,notation_primary_system,operational_notation,operational_notation_source,operational_notation_convention,stanford_symbolic,stanford_symbolic_normalized,stanford_components,stanford_parseable,official_add,add_formula_primary,source_add_claim,source_add_system,doctrine_divergence_category,source_primary,source_refs,parser_status,shorthand_status,notation_gap,curator_notes
pixie-dolomite,Pixie Dolomite,Pixie Dolomite,#pixie_dolomite,stanford_only_unpublished,,,,,,missing,,,,Z+1.-!0+0-X,Z+1.-!0+0-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-double-switchover,Pixie Double Switchover,Pixie Double Switchover,#pixie_double_switchover,stanford_only_unpublished,,,,,,missing,,,,Z+1.-0+0+Z,Z+1.-0+0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-butterfly-swirl,Pixie Ducking Butterfly Swirl,Pixie Ducking Butterfly Swirl,#pixie_ducking_butterfly_swirl,stanford_only_unpublished,,,,,,missing,,,,Z+1^-0-6+X,Z+1^-0-6+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-butterfly-xbd-rake,Pixie Ducking Butterfly XBD Rake,Pixie Ducking Butterfly XBD Rake,#pixie_ducking_butterfly_xbd_rake,stanford_only_unpublished,,,,,,missing,,,,Z+1^-0-xR,Z+1^-0-xR,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""crossbody-rake""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-clipper,Pixie Ducking Clipper,Pixie Ducking Clipper,#pixie_ducking_clipper,stanford_only_unpublished,,,,,,missing,,,,Z+1^+X,Z+1^+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-dlo,Pixie Ducking DLO,Pixie Ducking DLO,#pixie_ducking_dlo,stanford_only_unpublished,,,,,,missing,,,,Z+1^-1-0+Z,Z+1^-1-0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-illusion,Pixie Ducking Illusion,Pixie Ducking Illusion,#pixie_ducking_illusion,stanford_only_unpublished,,,,,,missing,,,,Z+1^-0-Z,Z+1^-0-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-legover,Pixie Ducking Legover,Pixie Ducking Legover,#pixie_ducking_legover,stanford_only_unpublished,,,,,,missing,,,,Z+1^-0+Z,Z+1^-0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-osis,Pixie Ducking Osis,Pixie Ducking Osis,#pixie_ducking_osis,stanford_only_unpublished,,,,,,missing,,,,Z+1^\-X,Z+1^\-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-pickup,Pixie Ducking Pickup,Pixie Ducking Pickup,#pixie_ducking_pickup,stanford_only_unpublished,,,,,,missing,,,,Z+1^-1+Z,Z+1^-1+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-spinning-toe,Pixie Ducking Spinning Toe,Pixie Ducking Spinning Toe,#pixie_ducking_spinning_toe,stanford_only_unpublished,,,,,,missing,,,,Z+1^/-Z,Z+1^/-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""forward-spin"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-symposium-mirage,Pixie Ducking Symposium Mirage,Pixie Ducking Symposium Mirage,#pixie_ducking_symposium_mirage,stanford_only_unpublished,,,,,,missing,,,,Z+1^-!1-Z,Z+1^-!1-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ducking-whirl,Pixie Ducking Whirl,Pixie Ducking Whirl,#pixie_ducking_whirl,stanford_only_unpublished,,,,,,missing,,,,Z+1^-1-X,Z+1^-1-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-dyno,Pixie Dyno,Pixie Dyno,#pixie_dyno,stanford_only_unpublished,,,,,,missing,,,,Z+1.-0\+X,Z+1.-0\+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-eclipse,Pixie Eclipse,Pixie Eclipse,#pixie_eclipse,stanford_only_unpublished,,,,,,missing,,,,Z+1.-!L-0_,Z+1.-!L-0_,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""no-plant-while"", ""inside-set"", ""opposite-side"", ""out-in-dex"", ""plant""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-eggbeater,Pixie Eggbeater,Pixie Eggbeater,#pixie_eggbeater,stanford_only_unpublished,,,,,,missing,,,,Z+1.-0-0+Z,Z+1.-0-0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-flail,Pixie Flail,Pixie Flail,#pixie_flail,stanford_only_unpublished,,,,,,missing,,,,Z+1.-!0-Z,Z+1.-!0-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-grifter,Pixie Grifter,Pixie Grifter,#pixie_grifter,stanford_only_unpublished,,,,,,missing,,,,Z+1.-0+X,Z+1.-0+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-guay,Pixie Guay,Pixie Guay,#pixie_guay,stanford_only_unpublished,,,,,,missing,,,,Z+1.-1+L,Z+1.-1+L,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-gyro-dlo,Pixie Gyro DLO,Pixie Gyro DLO,#pixie_gyro_dlo,stanford_only_unpublished,,,,,,missing,,,,Z+1.\-1-0+Z,Z+1.\-1-0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-gyro-torque,Pixie Gyro Torque,Pixie Gyro Torque,#pixie_gyro_torque,stanford_only_unpublished,,,,,,missing,,,,Z+1.\-1/-X,Z+1.\-1/-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""backward-spin"", ""opposite-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-inward-gyro-mirage,Pixie Inward Gyro Mirage,Pixie Inward Gyro Mirage,#pixie_inward_gyro_mirage,stanford_only_unpublished,,,,,,missing,,,,Z+1./+1-Z,Z+1./+1-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""forward-spin"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-legover,Pixie Legover,Pixie Legover,#pixie_legover,stanford_only_unpublished,,,,,,missing,,,,Z+1.-0+Z,Z+1.-0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-massacre,Pixie Massacre,Pixie Massacre,#pixie_massacre,stanford_only_unpublished,,,,,,missing,,,,Z+1.-0-!0-Z,Z+1.-0-!0-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-merlin,Pixie Merlin,Pixie Merlin,#pixie_merlin,stanford_only_unpublished,,,,,,missing,,,,Z+1.-1-!1-Z,Z+1.-1-!1-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-miraging-butterfly,Pixie Miraging Butterfly,Pixie Miraging Butterfly,#pixie_miraging_butterfly,stanford_only_unpublished,,,,,,missing,,,,Z+1.-1-0-X,Z+1.-1-0-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-miraging-flail,Pixie Miraging Flail,Pixie Miraging Flail,#pixie_miraging_flail,stanford_only_unpublished,,,,,,missing,,,,Z+1.-1-!0-Z,Z+1.-1-!0-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-miraging-symposium-eggbeater,Pixie Miraging Symposium Eggbeater,Pixie Miraging Symposium Eggbeater,#pixie_miraging_symposium_eggbeater,stanford_only_unpublished,,,,,,missing,,,,Z+1.-1-!0-0+Z,Z+1.-1-!0-0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,7,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-osis,Pixie Osis,Pixie Osis,#pixie_osis,stanford_only_unpublished,,,,,,missing,,,,Z+1./-X,Z+1./-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-paradon,Pixie Paradon,Pixie Paradon,#pixie_paradon,stanford_only_unpublished,,,,,,missing,,,,Z+1.-0+0-X,Z+1.-0+0-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-reverse-guay,Pixie Reverse Guay,Pixie Reverse Guay,#pixie_reverse_guay,stanford_only_unpublished,,,,,,missing,,,,Z+1.-0+L,Z+1.-0+L,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-reverse-swirl,Pixie Reverse Swirl,Pixie Reverse Swirl,#pixie_reverse_swirl,stanford_only_unpublished,,,,,,missing,,,,Z+1.+9-X,Z+1.+9-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""same-side"", ""front-dex-reverse-swirl"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-reverse-whirl,Pixie Reverse Whirl,Pixie Reverse Whirl,#pixie_reverse_whirl,stanford_only_unpublished,,,,,,missing,,,,Z+1.-0-X,Z+1.-0-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-spinning-blender,Pixie Spinning Blender,Pixie Spinning Blender,#pixie_spinning_blender,stanford_only_unpublished,,,,,,missing,,,,Z+1.\+1\+X,Z+1.\+1\+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""backward-spin"", ""same-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,7,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-spinning-ps-whirl,Pixie Spinning PS Whirl,Pixie Spinning PS Whirl,#pixie_spinning_ps_whirl,stanford_only_unpublished,,,,,,missing,,,,Z+1.\+!1-X,Z+1.\+!1-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""backward-spin"", ""same-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,,,7,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-spinning-whirl,Pixie Spinning Whirl,Pixie Spinning Whirl,#pixie_spinning_whirl,stanford_only_unpublished,,,,,,missing,,,,Z+1.\+1-X,Z+1.\+1-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""backward-spin"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,,,6,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-barrage,Pixie ss Barrage,Pixie ss Barrage,#pixie_ss_barrage,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+1+1-Z,Z+1_.+1+1-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-blender,Pixie ss Blender,Pixie ss Blender,#pixie_ss_blender,stanford_only_unpublished,,,,,,missing,,,,Z+1.+1\+X,Z+1.+1\+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""same-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-butterfly-swirl,Pixie ss Butterfly Swirl,Pixie ss Butterfly Swirl,#pixie_ss_butterfly_swirl,stanford_only_unpublished,,,,,,missing,,,,Z+1.+0-6+X,Z+1.+0-6+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-clipper,Pixie ss Clipper,Pixie ss Clipper,#pixie_ss_clipper,stanford_only_unpublished,,,,,,missing,,,,Z+1.-X,Z+1.-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""clipper-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-da-da-curve,Pixie ss Da Da Curve,Pixie ss Da Da Curve,#pixie_ss_da_da_curve,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+1-!0-X,Z+1_.+1-!0-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-dlo,Pixie ss DLO,Pixie ss DLO,#pixie_ss_dlo,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+1-0+Z,Z+1_.+1-0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-double-switchover,Pixie ss Double Switchover,Pixie ss Double Switchover,#pixie_ss_double_switchover,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+0+0+Z,Z+1_.+0+0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-drifter,Pixie ss Drifter,Pixie ss Drifter,#pixie_ss_drifter,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+1+X,Z+1_.+1+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-dyno,Pixie ss Dyno,Pixie ss Dyno,#pixie_ss_dyno,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+0\+X,Z+1_.+0\+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-eggbeater,Pixie ss Eggbeater,Pixie ss Eggbeater,#pixie_ss_eggbeater,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+0-0+Z,Z+1_.+0-0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-flail,Pixie ss Flail,Pixie ss Flail,#pixie_ss_flail,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+!0-Z,Z+1_.+!0-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-grifter,Pixie ss Grifter,Pixie ss Grifter,#pixie_ss_grifter,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+0+X,Z+1_.+0+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-guay,Pixie ss Guay,Pixie ss Guay,#pixie_ss_guay,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+1+L,Z+1_.+1+L,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-illusion,Pixie ss Illusion,Pixie ss Illusion,#pixie_ss_illusion,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+0-Z,Z+1_.+0-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-mirage,Pixie ss Mirage,Pixie ss Mirage,#pixie_ss_mirage,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+1-Z,Z+1_.+1-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-osis,Pixie ss Osis,Pixie ss Osis,#pixie_ss_osis,stanford_only_unpublished,,,,,,missing,,,,Z+1.\+X,Z+1.\+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-pickup,Pixie ss Pickup,Pixie ss Pickup,#pixie_ss_pickup,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+1+Z,Z+1_.+1+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-reverse-guay,Pixie ss Reverse Guay,Pixie ss Reverse Guay,#pixie_ss_reverse_guay,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+0+L,Z+1_.+0+L,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""inside-set""]",true,,,3,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-reverse-swirl,Pixie ss Reverse Swirl,Pixie ss Reverse Swirl,#pixie_ss_reverse_swirl,stanford_only_unpublished,,,,,,missing,,,,Z+1.-9-X,Z+1.-9-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""front-dex-reverse-swirl"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-reverse-whirl,Pixie ss Reverse Whirl,Pixie ss Reverse Whirl,#pixie_ss_reverse_whirl,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+0-X,Z+1_.+0-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-swirl,Pixie ss Swirl,Pixie ss Swirl,#pixie_ss_swirl,stanford_only_unpublished,,,,,,missing,,,,Z+1.-6+X,Z+1.-6+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-symposium-eggbeater,Pixie ss Symposium Eggbeater,Pixie ss Symposium Eggbeater,#pixie_ss_symposium_eggbeater,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+!0-0+Z,Z+1_.+!0-0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-symposium-mirage,Pixie ss Symposium Mirage,Pixie ss Symposium Mirage,#pixie_ss_symposium_mirage,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+!1-Z,Z+1_.+!1-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,,,4,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
pixie-ss-symposium-reverse-whirl,Pixie ss Symposium Reverse Whirl,Pixie ss Symposium Reverse Whirl,#pixie_ss_symposium_reverse_whirl,stanford_only_unpublished,,,,,,missing,,,,Z+1_.+!0-X,Z+1_.+!0-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,,,5,stanford,,stanford,stanford-2.txt,,stanford_only,no-job-stanford-only,stanford-only row; no canonical match by name
