slug,field,old_value,new_value,source_note
pixie-symposium-reverse-whirl,operational_notation,,TOE > SAME IN [DEX] >> (no plant while) OP OUT [BOD] [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: pixie entry (TOE > SAME IN [DEX] >>) applied to the symposium-reverse-whirl base; ADD token count equals the stated value.
stepping-mirage,operational_notation,,CLIP > OP IN [DEX] >> OP IN [DEX] > OP TOE [DEL],Derived operational notation: stepping entry (CLIP > OP IN [DEX] >>) applied to the mirage base; ADD token count equals the stated value.
stepping-rev-whirl,operational_notation,,CLIP > OP IN [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: stepping entry (CLIP > OP IN [DEX] >>) applied to the rev-whirl base; ADD token count equals the stated value.
stepping-illusion,operational_notation,,CLIP > OP IN [DEX] >> OP OUT [DEX] > OP TOE [DEL],Derived operational notation: stepping entry (CLIP > OP IN [DEX] >>) applied to the illusion base; ADD token count equals the stated value.
stepping-legover,operational_notation,,CLIP > OP IN [DEX] >> OP OUT [DEX] > SAME TOE [DEL],Derived operational notation: stepping entry (CLIP > OP IN [DEX] >>) applied to the legover base; ADD token count equals the stated value.
stepping-blender,operational_notation,,CLIP > OP IN [DEX] >> OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],Derived operational notation: stepping entry (CLIP > OP IN [DEX] >>) applied to the blender base; ADD token count equals the stated value.
stepping-barrage,operational_notation,,CLIP > OP IN [DEX] >> SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],Derived operational notation: stepping entry (CLIP > OP IN [DEX] >>) applied to the barrage base; ADD token count equals the stated value.
stepping-guay,operational_notation,,CLIP > OP IN [DEX] >> OP IN [DEX] > SAME INSIDE [DEL],Derived operational notation: stepping entry (CLIP > OP IN [DEX] >>) applied to the guay base; ADD token count equals the stated value.
stepping-reaper,operational_notation,,CLIP > OP IN [DEX] >> SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],Derived operational notation: stepping entry (CLIP > OP IN [DEX] >>) applied to the reaper base; ADD token count equals the stated value.
stepping-butterfly,operational_notation,,CLIP > OP IN [DEX] >> SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: stepping entry (CLIP > OP IN [DEX] >>) applied to the butterfly base; ADD token count equals the stated value.
diving-swirl,operational_notation,,CLIP > DIVE [BOD] > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: diving prepend on swirl; ADD token count equals the stated value.
swirling-swirl,operational_notation,,CLIP > SAME BACK SWIRL [DEX] > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: swirling operator on swirl; ADD token count equals the stated value.
symposium-swirl,operational_notation,,CLIP > (no plant while) SAME BACK SWIRL [BOD] [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: symposium on the swirl dex (precedent gyro-symposium-swirl); ADD token count equals the stated value.
spinning-whirling-swirl,operational_notation,,CLIP > (back) SPIN [BOD] > OP IN [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: spinning prepend on whirling-swirl; ADD token count equals the stated value.
swirling-whirling-swirl,operational_notation,,CLIP > SAME BACK SWIRL [DEX] > OP IN [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: swirling operator on whirling-swirl; ADD token count equals the stated value.
barraging-barfly-swirl,operational_notation,,CLIP > OP IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: barraging two-dex on barfly-swirl; ADD token count equals the stated value.
diving-legover,operational_notation,,SET > DIVE [BOD] > OP OUT [DEX] > SAME TOE [DEL],Derived operational notation: diving prepend on legover; ADD token count equals the stated value.
barraging-legover,operational_notation,,SET > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],Derived operational notation: barraging two-dex on legover; ADD token count equals the stated value.
tapping-legover,operational_notation,,TOE > OP OUT [DEX] >> OP OUT [DEX] > SAME TOE [DEL],Derived operational notation: grammar-ruling-pass (tapping entry); ADD token count equals the stated value.
tapping-guay,operational_notation,,TOE > OP OUT [DEX] >> OP IN [DEX] > SAME INSIDE [DEL],Derived operational notation: grammar-ruling-pass (tapping entry); ADD token count equals the stated value.
tapping-double-over-down,operational_notation,,TOE > OP OUT [DEX] >> OP OUT [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: grammar-ruling-pass (tapping entry); ADD token count equals the stated value.
spinning-eggbeater,operational_notation,,TOE > (back) SPIN [BOD] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],Derived operational notation: grammar-ruling-pass (>>-base collapse); ADD token count equals the stated value.
barraging-eggbeater,operational_notation,,TOE > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],Derived operational notation: grammar-ruling-pass (>>-base collapse); ADD token count equals the stated value.
barraging-barfly,operational_notation,,CLIP > OP IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],Derived operational notation: grammar-ruling-pass (>>-base collapse); ADD token count equals the stated value.
diving-illusion,operational_notation,,SET > DIVE [BOD] > OP OUT [DEX] > OP TOE [DEL],Derived operational notation: diving prepend on illusion; ADD token count equals the stated value.
barraging-illusion,operational_notation,,SET > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],Derived operational notation: barraging two-dex on illusion; ADD token count equals the stated value.
symposium-bubba,operational_notation,,CLIP > (no plant while) OP OUT [BOD] [DEX] > OP TOE [DEL],Derived operational notation: symposium on the bubba dex (precedent flail); ADD token count equals the stated value.
diving-osis,operational_notation,,SET > DIVE [BOD] > (back or front) SPIN [BOD] > SAME/OP CLIP [XBD] [DEL],Derived operational notation: diving prepend on osis; ADD token count equals the stated value.
spinning-symposium-torque,operational_notation,,SET > (back) SPIN [BOD] > (no plant while) OP IN [DEX] [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],Derived operational notation: spinning prepend on symposium-torque; ADD token count equals the stated value.
spinning-torque,operational_notation,,SET > (back) SPIN [BOD] > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],Derived operational notation: spinning prepend on torque; ADD token count equals the stated value.
paradox-torque,operational_notation,,SET > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],Derived operational notation: paradox tags the torque dex (precedent ducking-paradox-torque); ADD token count equals the stated value.
pixie-symposium-rev-whirl,operational_notation,,TOE > SAME IN [DEX] >> (no plant while) OP OUT [BOD] [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: pixie entry + symposium on the single rev-whirl dex; ADD token count equals the stated value.
spinning-ducking-superfly,operational_notation,,CLIP > (back) SPIN [BOD] > DUCK [BOD] > (no plant while) SAME OUT [DEX] [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: spinning+ducking body prepends on superfly (>>-collapse); ADD token count equals the stated value.
stepping-diving-mirage,operational_notation,,CLIP > OP IN [DEX] > DIVE [BOD] > SAME IN [DEX] > SAME TOE [DEL],Derived operational notation: stepping flips mirage core dex OP->SAME (side-flip ruling); ADD token count equals the stated value.
stepping-diving-butterfly,operational_notation,,CLIP > OP IN [DEX] > DIVE [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: stepping flips butterfly core dex OP->SAME; clipper catch kept (side-flip ruling); ADD token count equals the stated value.
stepping-ducking-drifter,operational_notation,,CLIP > OP IN [DEX] > DUCK [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: stepping flips drifter core dex OP->SAME (side-flip ruling); ADD token count equals the stated value.
stepping-paradox-torque,operational_notation,,CLIP > OP IN [DEX] >> SAME IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],Derived operational notation: stepping flips torque core dex OP->SAME; paradox tags the flipped dex (side-flip ruling); ADD token count equals the stated value.
spinning-symposium-flux,operational_notation,,TOE > (back) SPIN [BOD] > (no plant while) SAME OUT [BOD] [DEX] > (front) SPIN [BOD] > OP CLIP [XBD] [DEL],Derived operational notation: leading spin flips flux core dex OP->SAME; symposium on the flipped dex (side-flip ruling); ADD token count equals the stated value.
bigwalk,operational_notation,,CLIP > (back) SPIN [BOD] > SAME IN [DEX] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: leading spin + stepping; stepping dex written SAME IN under the lead spin (side-flip ruling); ADD token count equals the stated value.
paradox-fusion,operational_notation,,TOE > OP OUT [DEX] > OP OUT [DEX] > OP OUT [PDX] [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: paradox tags the last fusion dex (target-selection); ADD token count equals the stated value.
pixie-symposium-whirling-swirl,operational_notation,,TOE > SAME IN [DEX] >> OP IN [DEX] > (no plant while) OP BACK SWIRL [BOD] [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: pixie additive entry + symposium on the last whirling-swirl dex (target-selection); ADD token count equals the stated value.
symposium-atomic-butterfly,operational_notation,,TOE > OP OUT [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: symposium on the last atomic-butterfly dex (target-selection); ADD token count equals the stated value.
symposium-whirling-mirage,operational_notation,,SET > OP FRONT WHIRL [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],Derived operational notation: symposium on the last whirling-mirage dex (target-selection); ADD token count equals the stated value.
symposium-whirling-swirl,operational_notation,,CLIP > OP IN [DEX] > (no plant while) OP BACK SWIRL [BOD] [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: symposium on the last whirling-swirl dex (target-selection); ADD token count equals the stated value.
fairy-drifter,operational_notation,,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: fairy entry (TOE > SAME OUT [DEX] >) composed with the drifter core; ADD token count equals the stated value.
fairy-guay,operational_notation,,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME INSIDE [DEL],Derived operational notation: fairy entry (TOE > SAME OUT [DEX] >) composed with the guay core; ADD token count equals the stated value.
fairy-gyro-drifter,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: fairy entry (TOE > SAME OUT [DEX] >) composed with the gyro-drifter core; ADD token count equals the stated value.
fairy-illusion,operational_notation,,TOE > SAME OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],Derived operational notation: fairy entry (TOE > SAME OUT [DEX] >) composed with the illusion core; ADD token count equals the stated value.
fairy-rev-whirl,operational_notation,,TOE > SAME OUT [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],Derived operational notation: fairy entry (TOE > SAME OUT [DEX] >) composed with the rev-whirl core; ADD token count equals the stated value.
fairy-torque,operational_notation,,TOE > SAME OUT [DEX] > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],Derived operational notation: fairy entry (TOE > SAME OUT [DEX] >) composed with the torque core; ADD token count equals the stated value.
fairy-spinning-ducking-osis,operational_notation,,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > DUCK [BOD] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],Derived operational notation: fairy entry (TOE > SAME OUT [DEX] >) composed with the spinning-ducking-osis core; ADD token count equals the stated value.
fairy-swirling-swirl,operational_notation,,TOE > SAME OUT [DEX] > SAME BACK SWIRL [DEX] > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Derived operational notation: fairy entry (TOE > SAME OUT [DEX] >) composed with the swirling-swirl core; ADD token count equals the stated value.
genuphobia,operational_notation,,TOE > SAME OUT [DEX] > (front) SPIN [BOD] > (no plant while) OP IN [BOD] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],Authoritative notation backfilled from the resolved-formulas content layer; fairy + spyro + symposium + torque; FootbagMoves single-source uncorroborated; 7 brackets match the stated ADD.
dorshanatrix,operational_notation,,TOE > SAME IN [DEX] > OP OUT [DEX] >> (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],Named-set hybrid expanded form: the railing set (rooted sailing) spelled out plus base core; the (railing set) >> shorthand is the content-layer display; bracket count matches the stated ADD.
flying-fish,operational_notation,,TOE > SAME IN [DEX] > OP OUT [DEX] >> DUCK [BOD] > OP IN [DEX] > OP TOE [DEL],Named-set hybrid expanded form: the railing set (rooted sailing) spelled out plus base core; the (railing set) >> shorthand is the content-layer display; bracket count matches the stated ADD.
rail-warrior,operational_notation,,TOE > SAME IN [DEX] > OP OUT [DEX] >> DUCK [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],Named-set hybrid expanded form: the railing set (rooted sailing) spelled out plus base core; the (railing set) >> shorthand is the content-layer display; bracket count matches the stated ADD.
big-papa-smurf,operational_notation,,TOE > SAME OUT [DEX] > (no plant while) OP IN [BOD] > OP BACK SWIRL [DEX] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],Named-set hybrid expanded form: the surfing set (fairy symposium swirling) spelled out plus base core; the (surfing set) >> shorthand is the content-layer display; bracket count matches the stated ADD.
inspinning-reverse-guay,operational_notation,,SET > SAME IN [DEX] > OP INSIDE [DEL],Promoted 2026-06-08 (slice 1): notation derived from guay base + entry/body modifier; bracket count = ADD; parse-verified.
ducking-reverse-guay,operational_notation,,SET > DUCK [BOD] > SAME IN [DEX] > OP INSIDE [DEL],Promoted 2026-06-08 (slice 1): notation derived from guay base + entry/body modifier; bracket count = ADD; parse-verified.
gyro-reverse-guay,operational_notation,,SET > GYRO [BOD] > SAME IN [DEX] > OP INSIDE [DEL],Promoted 2026-06-08 (slice 1): notation derived from guay base + entry/body modifier; bracket count = ADD; parse-verified.
spinning-reverse-guay,operational_notation,,SET > (back) SPIN [BOD] > SAME IN [DEX] > OP INSIDE [DEL],Promoted 2026-06-08 (slice 1): notation derived from guay base + entry/body modifier; bracket count = ADD; parse-verified.
pixie-reverse-guay,operational_notation,,TOE > SAME IN [DEX] >> SAME IN [DEX] > OP INSIDE [DEL],Promoted 2026-06-08 (slice 1): notation derived from guay base + entry/body modifier; bracket count = ADD; parse-verified.
fairy-reverse-guay,operational_notation,,TOE > SAME OUT [DEX] >> SAME IN [DEX] > OP INSIDE [DEL],Promoted 2026-06-08 (slice 1): notation derived from guay base + entry/body modifier; bracket count = ADD; parse-verified.
stepping-reverse-guay,operational_notation,,CLIP > OP IN [DEX] >> SAME IN [DEX] > OP INSIDE [DEL],Promoted 2026-06-08 (slice 1): notation derived from guay base + entry/body modifier; bracket count = ADD; parse-verified.
inspinning-reverse-guay,trick_family,,inside-stall,loader-19 override: base_trick guay defaults trick_family to guay; guay is an inside-stall member.
ducking-reverse-guay,trick_family,,inside-stall,loader-19 override: base_trick guay defaults trick_family to guay; guay is an inside-stall member.
gyro-reverse-guay,trick_family,,inside-stall,loader-19 override: base_trick guay defaults trick_family to guay; guay is an inside-stall member.
spinning-reverse-guay,trick_family,,inside-stall,loader-19 override: base_trick guay defaults trick_family to guay; guay is an inside-stall member.
pixie-reverse-guay,trick_family,,inside-stall,loader-19 override: base_trick guay defaults trick_family to guay; guay is an inside-stall member.
fairy-reverse-guay,trick_family,,inside-stall,loader-19 override: base_trick guay defaults trick_family to guay; guay is an inside-stall member.
stepping-reverse-guay,trick_family,,inside-stall,loader-19 override: base_trick guay defaults trick_family to guay; guay is an inside-stall member.
clipper-ducking-symposium-whirl,operational_notation,,CLIP > DUCK [BOD] > SAME SYMP [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 2): depth-2 composition notation, parser-verified; bracket count = ADD."
reverse-swirling-symposium-mirage,operational_notation,,SET > SAME SWIRL [DEX] > SAME SYMP [DEX] > SAME IN [DEX] > SAME TOE [DEL],"Promoted 2026-06-08 (slice 2): depth-2 composition notation, parser-verified; bracket count = ADD."
reverse-swirling-paradox-torque,operational_notation,,SET > SAME SWIRL [DEX] > SAME IN [DEX] [PDX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 2): depth-2 composition notation, parser-verified; bracket count = ADD."
symposium-reverse-swirling-pickup,operational_notation,,SET > SAME SWIRL [DEX] > SAME SYMP [DEX] > SAME IN [DEX] > OP TOE [DEL],"Promoted 2026-06-08 (slice 2): depth-2 composition notation, parser-verified; bracket count = ADD."
symposium-reverse-whirling-swirl,operational_notation,,CLIP > OP WHIRL [DEX] > SAME SYMP [DEX] > OP BACK SWIRL [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 2): depth-2 composition notation, parser-verified; bracket count = ADD."
whirling-gyro-mirage,operational_notation,,SET > GYRO [BOD] > OP WHIRL [DEX] > OP IN [DEX] > OP TOE [DEL],"Promoted 2026-06-08 (slice 2): depth-2 composition notation, parser-verified; bracket count = ADD."
whirling-paradox-mirage,operational_notation,,SET > OP WHIRL [DEX] > OP IN [DEX] [PDX] > OP TOE [DEL],"Promoted 2026-06-08 (slice 2): depth-2 composition notation, parser-verified; bracket count = ADD."
reverse-swirling-paradox-torque,trick_family,,osis,loader-19 override: base_trick torque defaults trick_family to torque; torque is an osis-family branch.
surging-legover,operational_notation,,CLIP > OP IN [DEX] >> (back) SPIN [BOD] > SAME OUT [DEX] > SAME TOE [DEL],"Promoted 2026-06-08 (slice 3): surging side-flip notation (stepping entry + spinning, first base dex flipped OP->SAME), parser-verified; bracket count = ADD."
surging-mirage,operational_notation,,CLIP > OP IN [DEX] >> (back) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL],"Promoted 2026-06-08 (slice 3): surging side-flip notation (stepping entry + spinning, first base dex flipped OP->SAME), parser-verified; bracket count = ADD."
surging-osis,operational_notation,,CLIP > OP IN [DEX] >> (back) SPIN [BOD] > (front) SPIN [BOD] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 3): surging side-flip notation (stepping entry + spinning, first base dex flipped OP->SAME), parser-verified; bracket count = ADD."
surging-whirl,operational_notation,,CLIP > OP IN [DEX] >> (back) SPIN [BOD] > SAME IN [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 3): surging side-flip notation (stepping entry + spinning, first base dex flipped OP->SAME), parser-verified; bracket count = ADD."
reverse-magellan,operational_notation,,TOE > OP IN [DEX] >> OP OUT [DEX] > OP TOE [DEL],Promoted 2026-06-08 (slice 4): >>-base boundary preserved through reverse/entry-surface; parser-verified; bracket count = ADD.
toe-flurry,operational_notation,,TOE > OP IN [DEX] > SAME IN [DEX] >> OP OUT [DEX] > SAME TOE [DEL],Promoted 2026-06-08 (slice 4): >>-base boundary preserved through reverse/entry-surface; parser-verified; bracket count = ADD.
toe-ripwalk,operational_notation,,TOE > OP IN [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],Promoted 2026-06-08 (slice 4): >>-base boundary preserved through reverse/entry-surface; parser-verified; bracket count = ADD.
reverse-whirling-twirl,operational_notation,,CLIP >> OP FRONT SWIRL [DEX] > OP WHIRL [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],Promoted 2026-06-08 (slice 4): >>-base boundary preserved through reverse/entry-surface; parser-verified; bracket count = ADD.
backside-symposium-smear,operational_notation,,TOE > BS [DEX] > SAME IN [DEX] >> SAME SYMP [DEX] > OP IN [DEX] > OP TOE [DEL],Promoted 2026-06-08 (slice 4): >>-base boundary preserved through reverse/entry-surface; parser-verified; bracket count = ADD.
reverse-magellan,trick_family,,legover,loader-19 override: base_trick magellan defaults trick_family to magellan; canonical family is legover.
toe-flurry,trick_family,,legover,loader-19 override: base_trick flurry defaults trick_family to flurry; canonical family is legover.
toe-ripwalk,trick_family,,butterfly,loader-19 override: base_trick ripwalk defaults trick_family to ripwalk; canonical family is butterfly.
reverse-whirling-twirl,trick_family,,osis,loader-19 override: base_trick twirl defaults trick_family to twirl; canonical family is osis.
backside-symposium-smear,trick_family,,mirage,loader-19 override: base_trick smear defaults trick_family to smear; canonical family is mirage.
rev-swirl,operational_notation,,CLIP > OP BACK SWIRL [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
diving-reverse-swirl,operational_notation,,CLIP > DIVE [BOD] > OP BACK SWIRL [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
fairy-reverse-swirl,operational_notation,,TOE > SAME OUT [DEX] >> OP BACK SWIRL [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
pixie-reverse-swirl,operational_notation,,TOE > SAME IN [DEX] >> OP BACK SWIRL [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
spinning-reverse-swirl,operational_notation,,CLIP > (back) SPIN [BOD] > OP BACK SWIRL [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
stepping-reverse-swirl,operational_notation,,CLIP > OP IN [DEX] >> OP BACK SWIRL [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
swirling-reverse-swirl,operational_notation,,CLIP > OP BACK SWIRL [DEX] > SAME SWIRL [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
toe-symposium-swirl,operational_notation,,TOE > SAME SYMP [DEX] > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
toe-whirling-swirl,operational_notation,,TOE > OP WHIRL [DEX] > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
clipper-diving-whirl,operational_notation,,CLIP > DIVE [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
clipper-ducking-whirl,operational_notation,,CLIP > DUCK [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
clipper-symposium-whirl,operational_notation,,CLIP > SAME SYMP [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
fairy-reverse-whirl,operational_notation,,TOE > SAME OUT [DEX] >> SAME IN [DEX] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
pixie-reverse-whirl,operational_notation,,TOE > SAME IN [DEX] >> SAME IN [DEX] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
spinning-reverse-whirl,operational_notation,,SET > (back) SPIN [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
stepping-reverse-whirl,operational_notation,,CLIP > OP IN [DEX] >> SAME IN [DEX] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
whirling-reverse-whirl,operational_notation,,SET > SAME IN [DEX] > OP WHIRL [DEX] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
reverse-blender,operational_notation,,SET > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
clipper-ducking-blender,operational_notation,,CLIP > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
reverse-swirling-blender,operational_notation,,SET > SAME SWIRL [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
reverse-torque,operational_notation,,SET > SAME IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
toe-spinning-torque,operational_notation,,TOE > (back) SPIN [BOD] > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
reverse-swirling-osis,operational_notation,,SET > OP SWIRL [DEX] > (front) SPIN [BOD] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
clipper-ducking-drifter,operational_notation,,CLIP > DUCK [BOD] > OP IN [DEX] > SAME CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
toe-gyro-mirage,operational_notation,,TOE > GYRO [BOD] > OP IN [DEX] > OP TOE [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
toe-ducking-legover,operational_notation,,TOE > DUCK [BOD] > OP OUT [DEX] > SAME TOE [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
reverse-swirling-pickup,operational_notation,,SET > SAME SWIRL [DEX] > SAME IN [DEX] > OP TOE [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
butterfly-gyro-toe,operational_notation,,TOE > GYRO [BOD] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],"Promoted 2026-06-08 (slice 5): depth-<=1 single-modifier notation, parser-verified; bracket count = ADD."
reverse-blender,trick_family,,osis,loader-19 override: base_trick blender defaults trick_family to blender; canonical family is osis.
clipper-ducking-blender,trick_family,,osis,loader-19 override: base_trick blender defaults trick_family to blender; canonical family is osis.
reverse-swirling-blender,trick_family,,osis,loader-19 override: base_trick blender defaults trick_family to blender; canonical family is osis.
reverse-torque,trick_family,,osis,loader-19 override: base_trick torque defaults trick_family to torque; canonical family is osis.
toe-spinning-torque,trick_family,,osis,loader-19 override: base_trick torque defaults trick_family to torque; canonical family is osis.
clipper-ducking-drifter,trick_family,,clipper-stall,loader-19 override: base_trick drifter defaults trick_family to drifter; canonical family is clipper-stall.
reverse-whirling-rake,operational_notation,,SET > OP WHIRL [DEX] > SWING [DEX] > SAME TOE [DEL],Promoted 2026-06-08 (slice 6): X-modifiers + rake terminal (SWING [DEX] > SAME TOE [DEL]); parser-verified; bracket count = ADD.
paradox-whirling-rake,operational_notation,,SET > OP WHIRL [DEX] > SWING [DEX] [PDX] > SAME TOE [DEL],Promoted 2026-06-08 (slice 6): X-modifiers + rake terminal (SWING [DEX] > SAME TOE [DEL]); parser-verified; bracket count = ADD.
