"name","slug","source_corpus","ecosystem","deferral_bucket","failure_class","doctrine_confidence","reason"
Illusioning Symposium Mirage (Slaughter),illusioning-symposium-mirage-slaughter,stanford,symposium/paradox,alias-collapse,unknown-modifier-token,blocked,Resolves to atomic-symposium-mirage (Slaughter folk alias; illusioning = atomic).
"Miraging far Symp. Double Down","miraging-far-symp-double-down","passback","symposium/paradox","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Nuclear Osis (Nucleosis) (Aeon Flux) (Paradox Flux)","nuclear-osis-nucleosis-aeon-flux-paradox-flux","stanford","symposium/paradox","doctrine-sensitive","compression-ambiguity","policy-dependent","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Symposium DLO (Oh Wheely)","nuclear-symposium-dlo-oh-wheely","stanford","symposium/paradox","alias-collapse","compression-ambiguity","policy-dependent","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Paradox Blurry Whirl","paradox-blurry-whirl","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Pogo Paradox Barrage","pogo-paradox-barrage","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Pogo Paradox Blender","pogo-paradox-blender","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Pogo Paradox Blender (Pogo Op Blender)","pogo-paradox-blender-pogo-op-blender","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (pogo): pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Paradox Da Da Curve","pogo-paradox-da-da-curve","fborg","symposium/paradox","doctrine-sensitive","ambiguous-terminal-mechanic","blocked","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Pogo Paradox Da Da Curve (Pogo Op Da Da Curve)","pogo-paradox-da-da-curve-pogo-op-da-da-curve","fborg","symposium/paradox","doctrine-sensitive","ambiguous-terminal-mechanic","blocked","Doctrine-blocked (pogo): pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Paradox Drifter","pogo-paradox-drifter","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Pogo Paradox Eggbeater","pogo-paradox-eggbeater","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Pogo Paradox Mirage","pogo-paradox-mirage","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Pogo Paradox Torque","pogo-paradox-torque","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Pogo Paradox Torque (Pogo Op Torque)","pogo-paradox-torque-pogo-op-torque","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (pogo): pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Paradox Whirl","pogo-paradox-whirl","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Pogo Paradox Whirling Swirl","pogo-paradox-whirling-swirl","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Pogo Paradox Whirling Swirl (Pogo Op Whirling Swirl)","pogo-paradox-whirling-swirl-pogo-op-whirling-swirl","fborg","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (pogo): pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo ss Symposium Mirage","pogo-ss-symposium-mirage","stanford","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (pogo): pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Symp. Illusioning Illusioning Mirage","symp-illusioning-illusioning-mirage","passback","symposium/paradox","doctrine-sensitive","unknown-modifier-token","blocked","Doctrine-blocked (symposium): curator/Red ruling pending"
"Symposium Down Double Down","symposium-down-double-down","footbagmoves","symposium/paradox","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Symposium Furious Legover","symposium-furious-legover","stanford","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Toe far Symp. Double Down","toe-far-symp-double-down","passback","symposium/paradox","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Toe near Symp. Double Down","toe-near-symp-double-down","passback","symposium/paradox","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (symposium/paradox): curator/Red ruling pending"
"Weaving Symposium Mirage","weaving-symposium-mirage","stanford","symposium/paradox","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Slapping Weaving Butterfly (Quantanamera)","slapping-weaving-butterfly-quantanamera","stanford","weaving","doctrine-sensitive","unknown-modifier-token","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Tapping Weaving Mirage","tapping-weaving-mirage","stanford","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Butterfly","weaving-butterfly","footbagmoves","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Clipper","weaving-clipper","footbagmoves","weaving","doctrine-sensitive","ambiguous-terminal-mechanic","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Drifter","weaving-drifter","stanford","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Guay","weaving-guay","stanford","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Illusion","weaving-illusion","stanford","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Legover","weaving-legover","footbagmoves","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Magellan","weaving-magellan","passback","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Mirage","weaving-mirage","stanford","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Osis","weaving-osis","footbagmoves","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Pickup","weaving-pickup","footbagmoves","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Pigbeater","weaving-pigbeater","passback","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Reverse Guay","weaving-reverse-guay","stanford","weaving","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Toe Stall","weaving-toe-stall","stanford","weaving","doctrine-sensitive","ambiguous-terminal-mechanic","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Alpine Blurry Whirl","alpine-blurry-whirl","passback","whirl/osis/other","doctrine-sensitive","compression-ambiguity","blocked","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Barraging far Double Down","barraging-far-double-down","passback","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Barraging near Double Down","barraging-near-double-down","passback","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Barraging ss Double Double Down","barraging-ss-double-double-down","footbagmoves","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Blurry Barfly Swirl (Blurriest Swirl)","blurry-barfly-swirl-blurriest-swirl","stanford","whirl/osis/other","doctrine-sensitive","compression-ambiguity","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Butterfly Swirl (Riptide)","blurry-butterfly-swirl-riptide","stanford","whirl/osis/other","doctrine-sensitive","compression-ambiguity","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Osis (Crispy Torque)","blurry-osis-crispy-torque","stanford","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry PS Whirling XBD Rake (Warlock) (Sasquatch)","blurry-ps-whirling-xbd-rake-warlock-sasquatch","stanford","whirl/osis/other","doctrine-sensitive","compression-ambiguity","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Reverse Whirl","blurry-reverse-whirl","stanford","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Whirling Swirl","blurry-whirling-swirl","fborg","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Blurry Zulu Blender","blurry-zulu-blender","footbagmoves","whirl/osis/other","doctrine-sensitive","compression-ambiguity","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Zulu Blender (Odula)","blurry-zulu-blender-odula","stanford","whirl/osis/other","doctrine-sensitive","compression-ambiguity","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"DOD Reverse Swirl","dod-reverse-swirl","stanford","whirl/osis/other","doctrine-sensitive","unknown-modifier-token","policy-dependent","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Double Down near Osis","double-down-near-osis","passback","whirl/osis/other","doctrine-sensitive","unknown-modifier-token","policy-dependent","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Dragon Blurry Butterfly Dragon (Flipwalk)","dragon-blurry-butterfly-dragon-flipwalk","stanford","whirl/osis/other","doctrine-sensitive","compression-ambiguity","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Frantic far Double Down Swirl","frantic-far-double-down-swirl","passback","whirl/osis/other","doctrine-sensitive","unknown-modifier-token","policy-dependent","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Furious Butterfly Swirl (Tsunami)","furious-butterfly-swirl-tsunami","stanford","whirl/osis/other","doctrine-sensitive","compression-ambiguity","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious DLO (Nebula)","furious-dlo-nebula","stanford","whirl/osis/other","alias-collapse","compression-ambiguity","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Whirl","furious-whirl","footbagmoves","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Whirl (Genesis)","furious-whirl-genesis","stanford","whirl/osis/other","alias-collapse","","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear DLO (Terminator)","nuclear-dlo-terminator","stanford","whirl/osis/other","doctrine-sensitive","compression-ambiguity","policy-dependent","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Double Over Down","nuclear-double-over-down","footbagmoves","whirl/osis/other","doctrine-sensitive","compression-ambiguity","policy-dependent","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear far Double Down","nuclear-far-double-down","passback","whirl/osis/other","doctrine-sensitive","compression-ambiguity","policy-dependent","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Reverse Whirl","nuclear-ss-reverse-whirl","stanford","whirl/osis/other","doctrine-sensitive","compression-ambiguity","policy-dependent","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Whirl","nuclear-ss-whirl","footbagmoves","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Whirl (Hurl)","nuclear-ss-whirl-hurl","stanford","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Torque","nuclear-torque","stanford","whirl/osis/other","doctrine-sensitive","compression-ambiguity","policy-dependent","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Pogo Blender","pogo-blender","stanford","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (pogo): pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo DLO","pogo-dlo","stanford","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","blocked","Doctrine-blocked (pogo): pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Nuclear far Double Down","pogo-nuclear-far-double-down","passback","whirl/osis/other","doctrine-sensitive","compression-ambiguity","policy-dependent","Doctrine-blocked (blurry-furious): Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Pogo Torque","pogo-torque","stanford","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (pogo): pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Whirl","pogo-whirl","stanford","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (pogo): pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Whirling Swirl","pogo-whirling-swirl","stanford","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (pogo): pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Rooting/Rooted","rooting-rooted","fborg","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","blocked","Doctrine-blocked (rail-rooted): rooted structural ruling pending"
"Shooting DLO","shooting-dlo","stanford","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","blocked","Doctrine-blocked (shooting): shooting structural ruling pending"
"Shooting far Double Down","shooting-far-double-down","passback","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (shooting): shooting structural ruling pending"
"Shooting Star (Shooting Double Over Down)","shooting-star-shooting-double-over-down","fborg","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","blocked","Doctrine-blocked (shooting): shooting structural ruling pending"
"Shooting Torque","shooting-torque","fborg","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Surging far Double Down","surging-far-double-down","passback","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Tapping Double Down","tapping-double-down","passback","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Tapping Double Over Down","tapping-double-over-down","footbagmoves","whirl/osis/other","doctrine-sensitive","ambiguous-terminal-mechanic","policy-dependent","Doctrine-blocked (whirl/osis/other): curator/Red ruling pending"
"Weaving Eclipse","weaving-eclipse","stanford","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving Whirl","weaving-whirl","footbagmoves","whirl/osis/other","doctrine-sensitive","","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"Weaving XBD Rake","weaving-xbd-rake","stanford","whirl/osis/other","doctrine-sensitive","unknown-modifier-token","blocked","Doctrine-blocked (weaving): weaving movement ruling pending"
"69","69","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"84","84","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Alex Zerbe is the greatest","alex-zerbe-is-the-greatest","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Alpine Big Apple","alpine-big-apple","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Alpine Fusion","alpine-fusion","passback","(unclassified)","junk-or-observational-only","unresolved-directional-syntax","stable","Not yet interpretable: unresolved-directional-syntax"
"Alpine Magellan","alpine-magellan","passback","(unclassified)","junk-or-observational-only","unresolved-directional-syntax","stable","Not yet interpretable: unresolved-directional-syntax"
"Alpine Paste","alpine-paste","passback","(unclassified)","junk-or-observational-only","unresolved-directional-syntax","stable","Not yet interpretable: unresolved-directional-syntax"
"Alpine Pigbeater","alpine-pigbeater","passback","(unclassified)","junk-or-observational-only","unresolved-directional-syntax","stable","Not yet interpretable: unresolved-directional-syntax"
"Alpine PLO","alpine-plo","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Alpine Ripwalk","alpine-ripwalk","passback","(unclassified)","junk-or-observational-only","unresolved-directional-syntax","stable","Not yet interpretable: unresolved-directional-syntax"
"Alpine Sidewalk","alpine-sidewalk","passback","(unclassified)","junk-or-observational-only","unresolved-directional-syntax","stable","Not yet interpretable: unresolved-directional-syntax"
"Alpine Smog","alpine-smog","passback","(unclassified)","junk-or-observational-only","unresolved-directional-syntax","stable","Not yet interpretable: unresolved-directional-syntax"
"Alpine Smudge","alpine-smudge","passback","(unclassified)","junk-or-observational-only","unresolved-directional-syntax","stable","Not yet interpretable: unresolved-directional-syntax"
"Alpine Super Mario","alpine-super-mario","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Alpine Superduperfly","alpine-superduperfly","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Alpine Void","alpine-void","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Amadeus","amadeus","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Anonymous","anonymous","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Apocalypse","apocalypse","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Arachnophobia","arachnophobia","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Arch Nemesis","arch-nemesis","footbagmoves","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Archnemesis","archnemesis","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Arctic Butterfly","arctic-butterfly","footbagmoves","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Arcwalk","arcwalk","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Armaggedon","armaggedon","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"ATW, Around the World","atw-around-the-world","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Badger","badger","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Barfry","barfry","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Barraging far Motion","barraging-far-motion","passback","(unclassified)","junk-or-observational-only","ambiguous-terminal-mechanic","stable","Not yet interpretable: ambiguous-terminal-mechanic"
"Big Apple Sauce","big-apple-sauce","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Big Applesauce","big-applesauce","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Big Orange","big-orange","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Big Papa Smurf","big-papa-smurf","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Bill & Ted`s Bogus Journey","bill-&-ted`s-bogus-journey","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Bill & Ted`s Excellent Adventure","bill-&-ted`s-excellent-adventure","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Blackula","blackula","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Blacula","blacula","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Blink","blink","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Blurrier","blurrier","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","blocked","Folk-name opaque (no compositional structure)"
"Blurtigo","blurtigo","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Boulderbeater","boulderbeater","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"BS Fury","bs-fury","passback","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"BS Fusion","bs-fusion","passback","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"BS Magellan","bs-magellan","passback","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"BS Paste","bs-paste","passback","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"BS Pigbeater","bs-pigbeater","passback","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"BS Reactor","bs-reactor","passback","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Bubba Beater","bubba-beater","footbagmoves","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Bubba Butterfly","bubba-butterfly","footbagmoves","(unclassified)","junk-or-observational-only","ambiguous-terminal-mechanic","stable","Not yet interpretable: ambiguous-terminal-mechanic"
"Bubba Legover","bubba-legover","footbagmoves","(unclassified)","junk-or-observational-only","ambiguous-terminal-mechanic","stable","Not yet interpretable: ambiguous-terminal-mechanic"
"Bubba ss Mirage","bubba-ss-mirage","stanford","(unclassified)","junk-or-observational-only","ambiguous-terminal-mechanic","stable","Not yet interpretable: ambiguous-terminal-mechanic"
"Butterfly Flapper","butterfly-flapper","footbagmoves","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Butterfly Flapper (Buttersole) (Sole Train)","butterfly-flapper-buttersole-sole-train","stanford","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Butterfly Swivel","butterfly-swivel","stanford","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Butterfly Twirl","butterfly-twirl","stanford","(unclassified)","junk-or-observational-only","ambiguous-terminal-mechanic","stable","Not yet interpretable: ambiguous-terminal-mechanic"
"Butterfy near Osis","butterfy-near-osis","passback","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Buttersole","buttersole","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Carousel","carousel","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Cascade","cascade","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Casket","casket","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Cataclysm","cataclysm","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Catacomb","catacomb","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Cheese Processor","cheese-processor","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Clipper far Grifter","clipper-far-grifter","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Clipper far triple-dex Butterfly","clipper-far-triple-dex-butterfly","passback","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Clipper set Double Mirage","clipper-set-double-mirage","footbagmoves","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Cloud","cloud","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Clown Face","clown-face","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Clownface","clownface","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Cold Fusion","cold-fusion","footbagmoves","(unclassified)","junk-or-observational-only","unknown-modifier-token","stable","Not yet interpretable: unknown-modifier-token"
"Components of sets, but not neccesssarily sets","components-of-sets-but-not-neccesssarily-sets","fborg","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Compound Fracture","compound-fracture","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Conniption City","conniption-city","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Contact","contact","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Creature","creature","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Cristal","cristal","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Croissant","croissant","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Croxton","croxton","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Cyborg","cyborg","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Cyclone","cyclone","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"DDD","ddd","passback","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
"Dellusion","dellusion","footbagmoves","(unclassified)","junk-or-observational-only","folk-name-opacity","stable","Folk-name opaque (no compositional structure)"
